applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
43 applicants,Easy Apply,,PostalAddress,US,22,553,2018,"Louisville, KY",18983712,Real Estate,Louisville,Soundspace,Privately Held,40206,KY,2-10 employees,Premium studio and rehearsal spaces for audio recording and music production.,"Music, Recording, Community, Rehearsal, Venue, Venture, SaaS, Technology, Proptech, Real Estate, Coworking, Shared Space, and Creative Industry",841 E Washington St,Part-time,Real Estate,Marketing and Sales,"Indianapolis, IN",18/01/2025 20:43,Not Applicable,Marketing Specialist (Paid Ads & Social Media),['excel']
Be among the first 25 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Information Technology,"Baltimore, MD",18/01/2025 4:42,Mid-Senior level,Data Engineer,"['python', 'sql', 'powerbi', 'tableau', 'machine learning', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'big data', 'data warehouse', 'snowflake', 'brick', 'sql server', 'database']"
Be among the first 25 applicants,External Apply,"$137,600.00/yr - $294,000.00/yr",PostalAddress,US,88,54652,,"Redmond, Washington",82825689,Software Development,Redmond,Microsoft Power Platform Community,Public Company,98033,Washington,"10,001+ employees","Engage with Microsoft #PowerPlatform experts and peers in forums; discover blogs, webinars, videos, events, and more.",,,Full-time,Software Development,Engineering and Information Technology,"Redmond, WA",18/01/2025 3:46,Mid-Senior level,Principal Data Scientist,"['machine learning', 'aws', 'azure', 'data analytics', 'statistics']"
Be among the first 25 applicants,Easy Apply,"$60,000.00/yr - $75,000.00/yr",PostalAddress,US,17,876,2012,"Irvine, California",3211987,IT Services and IT Consulting,Irvine,Tailored Technology Services Inc.,Privately Held,92618,California,11-50 employees,IT Services can be enjoyable! Let us prove it. ,,500 Technology Dr,Full-time,IT Services and IT Consulting,Information Technology,"Mississippi, United States",18/01/2025 21:59,Mid-Senior level,System Administrator,"['excel', 'azure']"
83 applicants,Easy Apply,"$100,000.00/yr - $110,000.00/yr",PostalAddress,US,13273,1270585,2001,"New York, NY",15506,Financial Services,New York,Synechron,Privately Held,10036,NY,"10,001+ employees",Synechron is a leading digital transformation consulting firm focused on the financial services & big tech industries.,"Digital, Technology, Data, Systems Integration, Payments, Engineering, ESG, Sustainable Finance, Innovation, Digital Transformation, Cloud & DevOps, Consulting, and Artificial Intelligence","11 Times Square, Suite 3301",Full-time,"Financial Services, Information Services, and Software Development","Information Technology, Finance, and Engineering","Charlotte, NC",18/01/2025 14:43,Mid-Senior level,ETL Informatica/ Data Engineer,"['python', 'sql', 'excel', 'powerbi', 'tableau', 'data analytics', 'statistics']"
37 applicants,Easy Apply,,PostalAddress,US,1,24023,,"Miami, Florida",101266340,Marketing Services,Miami,Miracom Hive,Privately Held,33131,Florida,11-50 employees,"Elevating Sales, Unleashing Success!",,1000 Brickell Ave,Full-time,Advertising Services,Marketing,"New York, NY",18/01/2025 23:00,Not Applicable,Marketing Specialist,['excel']
Be among the first 25 applicants,External Apply,"$150,000.00/yr - $260,000.00/yr",PostalAddress,US,129,17888,,New York,99452,Public Relations and Communications Services,New York,IPG DXTRA,Public Company,10022,,"1,001-5,000 employees",,,,Full-time,Public Relations and Communications Services,Business Development and Sales,"Dallas, TX",18/01/2025 5:24,Executive,Senior Vice President of Analytics,"['excel', 'data visualization', 'data analytics', 'statistics']"
Be among the first 25 applicants,External Apply,,PostalAddress,CH,32,1992,2013,"St. Gallen, St. Gallen",4976391,Education Administration Programs,St. Gallen,talendo,Privately Held,9000,St. Gallen,11-50 employees,Start your career with talendo.,"Recruiting, Hochschulen, and Students",Poststrasse 18,Full-time,Education Administration Programs,"Design, Art/Creative, and Information Technology","Elkhart County, IN",18/01/2025 19:14,Internship,Hochschulpraktikant/-in Digital Innovation / Data Science,"['python', 'powerbi', 'aws']"
Be among the first 25 applicants,External Apply,,PostalAddress,NL,241,5285,1970,Oldenzaal,119790,Motor Vehicle Manufacturing,Oldenzaal,Power-Packer,Public Company,7575 AT,,"501-1,000 employees","Global trusted advisor of innovative motion control solutions
","agriculture, automotive, construction, fire and rescue, marine, medical, mining, oil and gas, on-highway vehicles, and hydraulic position and motion control products",Edisonstraat 2,Internship,Motor Vehicle Manufacturing,Engineering and Information Technology,"Urbandale, IA",18/01/2025 6:45,Internship,Engineering Research & Development Intern,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,8599,61631,1968,"Sacramento, CA",2844,Hospitals and Health Care,Sacramento,UC Davis Health,Educational,95817,CA,"10,001+ employees",UC Davis Health is improving lives and transforming health care at home and around the globe. ,"One of the nation's best medical schools, an NCI-designated comprehensive cancer center, the Betty Irene Moore School of Nursing, a neurodevelopmental institute, a stem cell institute, a full-service children‚Äôs hospital, and level-1 trauma center",4301 X Street,Full-time,Hospitals and Health Care,Information Technology,"Davis, CA",18/01/2025 2:31,Executive,Chief Data Officer (CDO),"['python', 'sql', 'excel', 'power bi', 'tableau', 'azure', 'data analytics', 'statistics', 'snowflake', 'sql server', 'postgres', 'dax', 'database']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,95,34194,2018,"Miami, Florida",35508199,Advertising Services,Miami,Malibu Events Promotions,Self-Employed,33132,Florida,11-50 employees,"We specialize in Brand Activation, Promotional Events and Advertising. ",,1900 N Bayshore Dr,Full-time,Business Consulting and Services,Marketing and Sales,"Orlando, FL",18/01/2025 22:28,Not Applicable,Marketing Specialist,['excel']
Be among the first 25 applicants,External Apply,"$58,000.00/yr - $68,000.00/yr",PostalAddress,US,48,1120,2016,"Washington, DC",10840032,Information Technology & Services,Washington,BluePath Labs (8(a) & SDVOSB),Privately Held,20037,DC,51-200 employees,"Labs are where ideas are born, experiments occur, and breakthroughs happen. 

It is the hallmark of BluePath's culture.",,Washington,Full-time,Information Technology & Services,Legal,"Washington, DC",16/01/2025 0:00,Entry level,Supply Chain / Economic / Compliance Analyst – DOC BIS (Hybrid - TS/SCI required),"['data visualization', 'data analytics']"
148 applicants,External Apply,"$100,000.00/yr - $720,000.00/yr",PostalAddress,US,16538,10756556,1997,"Los Gatos, CA",165158,Entertainment Providers,Los Gatos,Netflix,Public Company,,CA,"10,001+ employees","Play, pause, and resume watching anytime and anywhere. ",Revolutionizing the way people watch TV shows and movies!,100 Winchester Circle,Full-time,Entertainment Providers,Other,United States,,Not Applicable,"Technical Program Manager (L6), Privacy & Data Protection Engineering",['excel']
Be among the first 25 applicants,External Apply,"$92,140.00/yr - $119,240.00/yr",PostalAddress,US,76704,503044,,"Minneapolis, MN",2532,Banking,Minneapolis,U.S. Bank,Public Company,55402,MN,"10,001+ employees",,"Asset-based lending, Commercial lending, Custody services, Equipment financing, Foreign exchange, Fund services, Global payments and receivables, Liquidity and asset management, Loan syndication, Market risk management, Payment processing, Treasury management, Supply chain financing, Wealth management, Mortgage, Home equity, Deposits, Loans, Banking, and Financial services",800 Nicollet Mall,Full-time,Banking,Business Development and Sales,"New York, NY",18/01/2025 5:30,Entry level,Relationship Management Analyst,"['excel', 'aws', 'data analytics', 'database']"
141 applicants,Easy Apply,"$152,000.00/yr - $190,000.00/yr",PostalAddress,US,1401,240745,2017,"San Francisco, California",18505670,Financial Services,San Francisco,Brex,Privately Held,94108,California,"1,001-5,000 employees",Make every dollar count.,,,Full-time,Financial Services,Engineering and Information Technology,"New York, NY",18/01/2025 6:48,Mid-Senior level,"Software Engineer II, Growth",['database']
Be among the first 25 applicants,External Apply,"$82,655.00/yr - $107,447.00/yr",PostalAddress,US,374,5194,,"North Chicago, IL",5948762,Government Relations Services,North Chicago,USMEPCOM,Government Agency,,IL,"1,001-5,000 employees",Meet us where you are,,,Full-time,Government Administration and Strategic Management Services,Finance and Sales,"North Chicago, IL",15/01/2025 0:00,Not Applicable,Budget Analyst.,['aws']
Be among the first 25 applicants,External Apply,,PostalAddress,US,24,331,2010,"Princeton, New Jersey",9325611,IT Services and IT Consulting,Princeton,CARE IT Services Inc,Privately Held,8540,New Jersey,51-200 employees,,,College Rd E,Full-time,IT Services and IT Consulting,Information Technology,"Matthews, NC",18/01/2025 15:11,Mid-Senior level,Senior Data Engineer / Analyst,"['sql', 'tableau', 'aws', 'spark', 'postgres', 'database']"
80 applicants,External Apply,,,,,,,,2204084,,,Talentify.io,,,,,,,,Full-time,Administrative and Support Services,Administrative,United States,,Mid-Senior level,Data Entry Operator II,['excel']
Be among the first 25 applicants,External Apply,"$220,000.00/yr - $240,000.00/yr",,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Engineering and Information Technology,"Denver, CO",18/01/2025 4:48,Director,Senior Director - Data &amp; AI,"['excel', 'aws']"
Be among the first 25 applicants,Easy Apply,,,,12,16,,"Black Canyon City, Arizona",62844856,Restaurants,,Rock Springs Cafe & General Store,,,,11-50 employees,,,,Full-time,Restaurants,Administrative,"Phoenix, AZ",18/01/2025 15:08,Entry level,Data Entry Clerk,[]
Be among the first 25 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Information Technology,"Washington, DC",18/01/2025 4:44,Mid-Senior level,Data Engineer,"['python', 'sql', 'powerbi', 'tableau', 'machine learning', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'big data', 'data warehouse', 'snowflake', 'brick', 'sql server', 'database']"
Be among the first 25 applicants,External Apply,"$108,000.00/yr - $145,000.00/yr",PostalAddress,US,1771,12569,,"Charlotte, North Carolina",80814146,Hospitals and Health Care,Charlotte,RVO Health,Partnership,,North Carolina,"1,001-5,000 employees",,,,Full-time,IT Services and IT Consulting,Information Technology,"Minneapolis, MN",18/01/2025 21:08,Not Applicable,People Analytics Leader,"['python', 'sql', 'powerbi', 'tableau', 'aws', 'google analytics', 'snowflake', 'sql server', 'database']"
26 applicants,External Apply,"$120,000.00/yr - $200,000.00/yr",,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,"Design, Art/Creative, and Information Technology","Chicago, IL",18/01/2025 4:48,Mid-Senior level,Visual Designer,['aws']
Be among the first 25 applicants,Easy Apply,"$90,000.00/yr - $120,000.00/yr",PostalAddress,US,16,1865,2022,"Palo Alto, California",80563074,Biotechnology Research,Palo Alto,Greenstone Biosciences,Privately Held,94304,California,11-50 employees,Integrating AI/Machine learning with patient-derived stem cell technology to accelerate drug discovery.,"IPSC, Drug Discovery, Genomics, Computational Biology, AI, and Biotech",3160 Porter Dr,Full-time,Biotechnology Research,"Research, Analyst, and Information Technology","Palo Alto, CA",19/01/2025 0:23,Mid-Senior level,Project Scientist,['excel']
Be among the first 25 applicants,External Apply,$24.28/hr - $30.36/hr,PostalAddress,US,3518,25935,1975,"Emeryville, CA",11457596,Hospitals and Health Care,Emeryville,Vituity,Partnership,94608,CA,"1,001-5,000 employees",At the heart of better care.,"Acute Neurology , Acute Psychiatry, Anesthesiology, Critical Care, Emergency Medicine, Hospital Medicine , Post-Acute Care, Surgical Care, Teleneurology, Telepsychiatry, Teleurgent Care, Urgent Care, Practice Management Services, Revenue Cycle Services, and Telemedicine",2100 Powell Street,Full-time,Hospitals and Health Care,Administrative,"Sacramento, CA",18/01/2025 10:35,Entry level,Administrative Coordinator - Remote - Nationwide,"['excel', 'aws', 'database']"
54 applicants,External Apply,"$91,900.00/yr - $126,200.00/yr",PostalAddress,US,181217,5869476,,"Burbank, CA",1292,Entertainment Providers,Burbank,The Walt Disney Company,Public Company,91521,CA,"10,001+ employees",,"Entertainment, Technology, Media, Movies, Television, Consumer Products, Theme Parks, Resorts, Interactive Media, Publishing, Radio, Live Entertainment, Music, Stage Plays, Animation, Studios, Apparel, Apps, Gaming, and Toys",The Walt Disney Company,Full-time,Entertainment Providers,Marketing and Sales,"Burbank, CA",18/01/2025 14:59,Mid-Senior level,"Manager, Social Media (Freeform)","['excel', 'r studio']"
106 applicants,Easy Apply,,PostalAddress,US,35,5621,1985,"Clinton Township, Michigan",685972,Professional Services,Clinton Township,"Sygnetics, Inc.",Privately Held,48036,Michigan,11-50 employees,Success Through Synergy,"Healthcare Services, Human Capital Management, Information Technology Services, Program Project Management, Vocational Rehabilitation & Employment Services, Doctor, Nurse, Physician, Locum Tenens, Medical Technician, Medical, and Cloud Computing",37054 Cochise St,Contract,IT Services and IT Consulting,Engineering and Information Technology,"Dearborn, MI",18/01/2025 21:28,Associate,Software Test Engineer,['python']
